Marca,Nome do Produto,EAN,Preço com Desconto,Preço sem Desconto,Valor do Desconto
EMS,Nesina 25mg com 30 Comprimidos - Hypera,7896094922433,140.64,174.05,33.41
EMS,"Nesina Met 12,5 + 1000mg com 60 Comprimidos - Hypera",7896094922426,148.91,181.66,32.75
EMS,Nesina Pio 25mg + 30mg com 30 Comprimidos - Hypera,7896094999510,213.61,259.88,46.27
EMS,Nesina Pio 25mg + 15mg com 30 Comprimidos - Hypera,7896094999534,209.41,262.44,53.03
EMS,"Nesina Met 12,5 + 850mg com 60 Comprimidos - Hypera",7896094999527,153.27,181.66,28.39
EMS,"Nesina 12,5mg com 30 Comprimidos - Hypera",7896094922136,128.74,160.86,32.12
EMS,Nesina 25mg com 60 Comprimidos - Hypera,7896094931213,269.94,295.89,25.95
ABBOTT NUTRICIONAL,Pedialyte Max Sabor Morango com 500ml - Abbott Nurtricional,7891158106453,33.49,33.49,0.0
ABBOTT NUTRICIONAL,Pedialyte Max Sabor Uva com 500ml - Abbot Nutricional,7891158106446,33.49,33.49,0.0
ABBOTT NUTRICIONAL,Pedialyte Plus Sabor Guaraná - 500ml,7891158104657,36.9,36.9,0.0
APSEN,Motilex HA com 60 Cápsulas - Apsen,7896637031844,239.9,293.9,54.0
EMS,Aglitil 30mg com 60 Comprimidos - Ems,7896472522408,111.74,140.87,29.13
EMS,Aglitil 15mg com 30 Comprimidos - Ems,7896472522392,65.7,82.82,17.12
GSK OTC,Centrum Pó Energia Sachê Sabor Guaraná - 5g,7896009499036,4.49,4.49,0.0
CIMED,Pantoprazol 20mg com 28 Comprimidos - Cimed Genérico,7896523214351,7.77,61.09,53.32
BIOSINTETICA GENERICO,Pantoprazol 20mg com 28 Comprimidos - Biosintetica Genérico,7896181918424,6.49,48.69,42.2
EUROFARMA GENERICO,"Desogestrel 0,75mg com 84 Comprimidos - Eurofarma Genérico",7891317180553,28.19,86.51,58.32
GERMED GENERICO,"Desogestrel 0,75mg com 84 Comprimidos - Germed Genérico",7896004751795,24.89,66.01,41.12
GROSS,Adeforte com 30 Cápsulas  - Gross,7892828001078,44.9,44.9,0.0
